n,mean,increment,support_end,dominance_active_count,monotone_active_count,active_signature,signature_changed,tail_l1_move,solver_method,max_constraint_violation,d2_l1,d3_l1,d4_l1,d4_l2sq,tail_entropy,second_moment,third_moment
51,1.6476013302612056,0.015070725090387427,6,128,121,a05422d9074983a5b69e,False,0.015070725090387621,highs,0.0,0.6565275321288975,0.6701664064795668,0.7915634904492052,0.2570130182490725,1.676294728969533,3.6759479493793714,9.412186533714063
52,1.6625810679529478,0.01497973769174199,6,128,121,a05422d9074983a5b69e,False,0.01497973769174213,highs,0.0,0.6546909489103163,0.6552752987335175,0.7635020374424881,0.24228847034908024,1.6891626565723274,3.738967393531402,9.650763110132427
53,1.677459231737766,0.0148781637848181,7,128,120,81e288d1066d93cdaf79,True,0.014878163784817959,highs,0.0,0.6526736191936178,0.6404611541187424,0.7456986529634426,0.22839118419747415,1.7019453600256595,3.8021167110289302,9.891681223077756
54,1.6922267772898174,0.01476754555205173,7,128,120,81e288d1066d93cdaf79,False,0.014767545552051356,highs,8.673617379884035e-19,0.6505088221756196,0.6257671095362519,0.7416907980233901,0.21532931817658307,1.7146128932177314,3.865320985676004,10.13464469644666
55,1.7068761854992907,0.014649408209473247,7,128,120,81e288d1066d93cdaf79,False,0.014649408209473339,highs,8.673617379884035e-19,0.6482244796482415,0.6112255639984853,0.7372597436277701,0.20309771465848653,1.7271391397378602,3.928512728308686,10.37934179140887
56,1.7214014376772953,0.0145252521780046,7,128,120,81e288d1066d93cdaf79,False,0.014525252178004846,highs,0.0,0.6458446509620552,0.5968633664587502,0.7324787822755648,0.19168556262390052,1.739505645349079,3.9916350144518713,10.625505217987255
57,1.735797732628293,0.01439629495099748,7,128,120,81e288d1066d93cdaf79,False,0.014396294950997476,highs,0.0,0.643389257444245,0.5827011565311981,0.7274085890322136,0.18107347145552294,1.7516988466798589,4.054639401919132,10.872903008509894
58,1.7500612634104051,0.014263530782112177,7,128,120,81e288d1066d93cdaf79,False,0.014263530782112456,highs,0.0,0.64087475604082,0.5687543009114355,0.7220995743459115,0.17123557835521072,1.7637087711070825,4.117484406144283,11.12133145755557
59,1.764189045125777,0.014127781715371768,7,128,120,81e288d1066d93cdaf79,False,0.014127781715371577,highs,0.0,0.6383147681921655,0.555033861740871,0.716593937416001,0.16214163039672466,1.7755282495847577,4.180134349394453,11.370610176056806
60,1.7781787783651382,0.013989733239361035,7,128,120,81e288d1066d93cdaf79,False,0.013989733239361443,highs,0.0,0.6357205976640262,0.5415474378996165,0.7109272531149121,0.1537586422216577,1.787152356621018,4.242558452776081,11.620578387234788
